"見積ＮＯ","登録担当者","登録日","更新日","件名名称","サイクル区分","提出先名称","施主名","設計監理名","建設工事名","電気工事名","見積金額","代理店渡金額","卸金額","標準金額","件名ＮＯ","仕様区分","注文ＮＯ","明細ＮＯ","公共記号","承認図作成日１","承認図作成日２","承認図作成日３","承認図作成日４","代理店名","ダウンロード日付","ダウンロード時刻","営業所名","営業所担当者名","得意先担当者名","得意先電話番号","営業所電話番号","枝ＮＯ","プラン宛名","提案日","商談ＮＯ"
"U57MSU","KA","20241211","","（仮称）葛飾区奥戸ＰＪ新築工事","B","","","","","","29843460","16877440","20643380","29843460","","2","M100A","","","0","0","0","0","岡田電気産業（株）　本社","20241211","084431","福島電材営業所","野中　秀行","秋元","0246-25-6111","024-939-7731","1","（仮称）葛飾区奥戸ＰＪ新築工事","",""
"見積ＮＯ","行ＮＯ","挿入行ＮＯ","まとめ１","まとめ２","照会記号","メーカーコード","インプット品番","品名","数量","見積単価","代理店渡単価","卸単価","標準単価","摘要","在庫区分","ランプ品番１","ランプ組込数１","ランプ品番２","ランプ組込数２","電圧","品番種別","仕様ＮＯ","加工元品番","図面番号","注文ＮＯ","明細ＮＯ","スタイル品番","起動方式","ランプ指定コード","フロア","フロア名","部位","部位名","摘","Ｇ","納問","枝ＮＯ","ＥＤＰ品番","ＥＤＩＴ品番","器具スタイル","カタログＮＯ","カタログページ","使用ランプ","消費電力","点灯時間","省エネ補正係数","省エネ比較品番","省エネ比較対象消費電力","省エネ比較対象補正係数","ランプ別梱別売区分","明細表示区分","価格グループコード","価格グループ名称","価格グループまとめコード","価格グループまとめ名称","組込数","商談ＮＯ","リベート有無区分","","仕入単価"
"U57MSU","19","0","0","0","","MEW","NNFK99001","ＣＳＬＩＭ調光線挿入用アダプトコネクタ","4","1690","960","1180","1690","","3","","0","","0","0","","","","K","","","NNFK99001","","","","","","","","V","","1","NNFK99001","NNFK99001","他照明器具付属品","A308","335","","","","","","","","","0","S5V31","Ｖ：店舗照明（ＴＯＬＳＯ）","S5V#2","Ｖ：ＬＥＤ照明（高機能Ｖ２）","0","","","","608"
"U57MSU","20","0","0","0","","MEW","NNFK99000","ＣＳＬＩＭ電源線挿入用アダプトコネクタ","4","2650","1510","1860","2650","","3","","0","","0","0","","","","K1","","","NNFK99000","","","","","","","","V","","1","NNFK99000","NNFK99000","他照明器具付属品","A308","335","","","","","","","","","0","S5V31","Ｖ：店舗照明（ＴＯＬＳＯ）","S5V#2","Ｖ：ＬＥＤ照明（高機能Ｖ２）","0","","","","954"
"U57MSU","21","0","0","0","I1","MEW","XND1539WLLE9","ＤＬ１５０形Φ１００拡散３０Ｋ白","60","25300","14430","17700","25300","","","","0","","0","100-242","X","","","K1","","","XND1539WL","LE9","","","","","","","L","納問","1","XND1539WLLE9","XND1539WLLE9","ダウンライト","A308","738","LED（電球色）","11.6","","","","","","","0","","","","","0","","","","5566"
"U57MSU","24","0","0","0","I2","MEW","XND1039WLLE9","ＤＬ１００形Φ１００拡散３０Ｋ白","297","18900","10800","13250","18900","","","","0","","0","100-242","X","","","K1","","","XND1039WL","LE9","","","","","","","L","納問","1","XND1039WLLE9","XND1039WLLE9","ダウンライト","A308","746","LED（電球色）","7","","","","","","","0","","","","","0","","","","4158"
"U57MSU","27","0","0","0","J","MEW","XNW1531WLLE9","軒下ＤＬ１５０形φ１００拡散３０Ｋ","27","33700","19200","23550","33700","","","","0","","0","100-242","X","","","K4","","","XNW1531WL","LE9","","","","","","","L","納問","1","XNW1531WLLE9","XNW1531WLLE9","ダウンライト","A308","800","LED（電球色）","12.4","","","","","","","0","","","","","0","","","","7414"
"U57MSU","30","0","0","0","K","MEW","NNN62822W","ＵＶＤＬ１００形Φ１２５　広角３０Ｋ　白","16","13000","7420","9100","13000","","3","","0","","0","0","","","","K7","","","NNN62822W","","","","","","","","L","納問","1","NNN62822W","NNN62822W","ユニバーサルダウンライト","A308","628","LED（電球色）","7.2","","","","","","","0","S5L32","Ｌ：店舗演出ＬＥＤ","S5L#3","Ｌ：ＬＥＤ照明（一般Ｌ３）","0","","","","2860"
"U57MSU","31","0","0","0","","MEW","NNN82200LE1","ＬＥＤ電源ユニット　１００Ｖ用","16","7300","4160","5100","7300","","2","","0","","0","100","","","","K","","","NNN82200","LE1","","","","","","","L","納問","1","NNN82200LE1","NNN82200LE1","他照明器具付属品","A308","628","","0","","","","","","","0","S5L32","Ｌ：店舗演出ＬＥＤ","S5L#3","Ｌ：ＬＥＤ照明（一般Ｌ３）","0","","","","1606"
"U57MSU","32","0","0","0","L","MEW","LGW85005YF","ＬＥＤ電球４．３ＷＸ１ブラケット電球色","4","24000","12870","15600","24000","","2","","0","","0","0","","","","K1","","","LGW85005YF","","","","","","","","E","","1","LGW85005YF","LGW85005YF","エクステリアライト","A307","759","LED電球小形電球タイプ4.3W1灯（E17）（電球色）","4.3","","1","40形電球1灯相当の明るさ","31","1","","0","S2E10","Ｅ：住宅ＬＥＤ照明","S2E#1","Ｅ：住宅ＬＥＤ照明","0","","","","7680"
"U57MSU","33","0","0","0","M","MEW","LGB81565LE1","ＬＥＤブラケット６０形×２電球色","4","25700","13780","16700","25700","","2","","0","","0","100","","","","K1","","","LGB81565","LE1","","","","","","","E","","1","LGB81565LE1","LGB81565LE1","ブラケット","A307","459","LED（電球色タイプ）","9.7","","1","60形電球2灯相当の明るさ","108","1","","0","S2E10","Ｅ：住宅ＬＥＤ照明","S2E#1","Ｅ：住宅ＬＥＤ照明","0","","","","8224"
"U57MSU","34","0","0","0","O","MEW","XLX210AENCLE9","ｉＤ１６００Ｄ－Ｗ１５０昼白色","12","19300","11000","13500","19300","","","","0","","0","100-242","X","","","K1","","","XLX210AENC","LE9","","","","","","","L","","1","XLX210AENCLE9","XLX210AENCLE9","ベースライト","A308","189","LED（昼白色）","11.6","","1","FL20形×2灯器具相当","44","1","","0","","","","","0","","","","4246"
"U57MSU","37","0","0","0","P","MEW","XLW413AENZLE9","ｉＤ２０００Ｄ１５０防湿防雨昼白ＳＵＳ","6","72700","41500","50900","72700","","","","0","","0","100-242","X","","","K6","","","XLW413AENZ","LE9","","","","","","","L","","1","XLW413AENZLE9","XLW413AENZLE9","ベースライト","A308","401","LED（昼白色）","13.1","","1","FLR40形器具節電タイプ相当","47","1","","0","","","","","0","","","","15994"
"U57MSU","40","0","0","0","Q","MEW","XLW453AENZLE9","ｉＤ５２００Ｄ１５０防湿防雨昼白ＳＵＳ","6","83500","47700","58500","83500","","","","0","","0","100-242","X","","","K6","","","XLW453AENZ","LE9","","","","","","","L","","1","XLW453AENZLE9","XLW453AENZLE9","ベースライト","A308","401","LED（昼白色）","32.5","","1","Hf32形×2灯定格出力型器具相当","66","1","","0","","","","","0","","","","18370"
"U57MSU","43","0","0","0","R","MEW","LGB85000KLE1","ＬＥＤブラケット直管２０形昼白色","9","25500","13650","16550","25500","","2","","0","","0","100","","","","K","","","LGB85000K","LE1","","","","","","","E","","1","LGB85000KLE1","LGB85000KLE1","ブラケット","A307","695","LED（昼白色タイプ）","11.2","","1","20形直管蛍光灯1灯相当の明るさ","21","1","","0","S2E10","Ｅ：住宅ＬＥＤ照明","S2E#1","Ｅ：住宅ＬＥＤ照明","0","","","","8160"
"U57MSU","44","0","0","0","S","MEW","LGB85033LE1","ＬＥＤブラケット直管２０形電球色","2","11800","6310","7650","11800","","2","","0","","0","100","","","","K5","","","LGB85033","LE1","","","","","","","E","","1","LGB85033LE1","LGB85033LE1","ブラケット","A307","470","LED（電球色タイプ）","12","","1","20形直管蛍光灯1灯相当の明るさ","21","1","","0","S2E10","Ｅ：住宅ＬＥＤ照明","S2E#1","Ｅ：住宅ＬＥＤ照明","0","","","","3776"
"U57MSU","45","0","0","0","T","MEW","NTN88002GL","ＧＬ１５×１　殺菌灯　直付殺菌線遮光方式","2","115000","65600","80500","115000","","3","","0","","0","100","","","","K1","","","NTN88002","GL","","","","","","","S","納問","1","NTN88002111","NTN88002GL     50","殺菌灯","A308","554","15形殺菌ランプ1灯","28.9","","","","","","","0","S5S35","Ｓ：店舗提案型商品","S5S#3","Ｓ：政策商品","0","","*","","46000"
"U57MSU","46","0","0","0","U","MEW","XYT2007RZLE1","ＬＥＤローポールライト","8","65900","37590","46150","65900","","","","0","","0","100","X","","","K","","","XYT2007RZ","LE1","","","","","","","-","納問","1","XYT2007RZLE1","XYT2007RZLE1","エクステリアライト","A308","1005","LED（電球色）","6.7","","","","","","","0","","","","","0","","","","21274"
"U57MSU","49","0","0","0","YA","MEW","FA20337CLE1","Ｂ級ＢＬ形　片面　誘導音付点滅型","5","170200","97000","119000","170200","","3","","0","","0","100","","","","K1","","","FA20337C","LE1","","","","","","","","","1","FA20337CLE1","FA20337CLE1","誘導灯","A308","434","","3.9","","","","","","","0","S7B10","Ｂ：誘導灯","S7B#1","Ｂ：防災商品","0","","*","","34040"
"U57MSU","50","0","0","0","","MEW","FK20000","避難口表示板左　Ｂ級ＢＬ・ＢＨ兼用直付用","5","7000","3990","4900","7000","","3","","0","","0","0","","","","K1","","","FK20000","","","","","","","","","","1","FK20000","FK20000","他照明器具付属品","A308","433","","","","","","","","","0","S7B10","Ｂ：誘導灯","S7B#1","Ｂ：防災商品","0","","","","1400"
"U57MSU","51","0","0","0","YB","MEW","FA10312CLE1","ＬＥＤ誘導灯Ｃ級片面直付","12","33900","19400","23700","33900","","3","","0","","0","100","","","","K3","","","FA10312C","LE1","","","","","","","","","1","FA10312CLE1","FA10312CLE1","誘導灯","A308","428","","1.1","","","","","","","0","S7B10","Ｂ：誘導灯","S7B#1","Ｂ：防災商品","0","","","","6780"
"U57MSU","52","0","0","0","","MEW","FK10300","避難口　表示板（左）　Ｃ級　直付用","12","3300","1880","2310","3300","","3","","0","","0","0","","","","K","","","FK10300","","","","","","","","","","1","FK10300","FK10300","他照明器具付属品","A308","428","","","","","","","","","0","S7B10","Ｂ：誘導灯","S7B#1","Ｂ：防災商品","0","","","","660"
"U57MSU","53","0","0","0","YC","MEW","FA20352CLE1","ＬＥＤ誘導灯Ｂ級ＢＬ片面天井埋込","2","56600","32300","39600","56600","","3","","0","","0","100","","","","K3","","","FA20352C","LE1","","","","","","","","","1","FA20352CLE1","FA20352CLE1","誘導灯","A308","427","","1.7","","","","","","","0","S7B10","Ｂ：誘導灯","S7B#1","Ｂ：防災商品","0","","","","11320"
"U57MSU","54","0","0","0","","MEW","FK20357","避難口表示板　矢印付右Ｂ級　天井埋込片面","2","13000","7420","9100","13000","","3","","0","","0","0","","","","K1","","","FK20357","","","","","","","","","","1","FK20357","FK20357","他照明器具付属品","A308","427","","","","","","","","","0","S7B10","Ｂ：誘導灯","S7B#1","Ｂ：防災商品","0","","","","2600"
"U57MSU","55","0","0","0","TD1","MEW","FA10312CLE1","ＬＥＤ誘導灯Ｃ級片面直付","5","33900","19400","23700","33900","","3","","0","","0","100","","","","K3","","","FA10312C","LE1","","","","","","","","","1","FA10312CLE1","FA10312CLE1","誘導灯","A308","428","","1.1","","","","","","","0","S7B10","Ｂ：誘導灯","S7B#1","Ｂ：防災商品","0","","","","6780"
"U57MSU","56","0","0","0","","MEW","FK10316","通路　表示板（左）　Ｃ級　直付用","5","3300","1880","2310","3300","","3","","0","","0","0","","","","K","","","FK10316","","","","","","","","","","1","FK10316","FK10316","他照明器具付属品","A308","428","","","","","","","","","0","S7B10","Ｂ：誘導灯","S7B#1","Ｂ：防災商品","0","","","","660"
"U57MSU","57","0","0","0","TD2","MEW","FA10362CLE1","ＬＥＤ誘導灯Ｃ級両面天井埋込","3","43900","25100","30700","43900","","3","","0","","0","100","","","","K3","","","FA10362C","LE1","","","","","","","","","1","FA10362CLE1","FA10362CLE1","誘導灯","A308","427","","1.4","","","","","","","0","S7B10","Ｂ：誘導灯","S7B#1","Ｂ：防災商品","0","","","","8780"
"U57MSU","58","0","0","0","","MEW","FK10386","通路表示板　左右Ｃ級　天井埋込両面","3","7800","4440","5450","7800","","3","","0","","0","0","","","","K1","","","FK10386","","","","","","","","","","1","FK10386","FK10386","他照明器具付属品","A308","427","","","","","","","","","0","S7B10","Ｂ：誘導灯","S7B#1","Ｂ：防災商品","0","","","","1560"
"U57MSU","59","0","0","0","","MEW","FF90028K","誘導灯用信号装置　多回路用","1","718800","407900","500500","718800","","3","","0","","0","0","","","","K7","","","FF90028K","","","","","","","","","納問","1","FF90028K","FF90028K","制御機器","A308","453","","0","","","","","","","0","S6A10","Ｂ：防災提案用","S7B#1","Ｂ：防災商品","0","","","","143760"
"U57MSU","60","0","0","0","HD1","MEW","NNFB93605C","ＬＥＤ非常灯専用型中天～６Ф１００自己点","71","84500","48200","59200","84500","","3","","0","","0","0","","","","K3","","","NNFB93605C","","","","","","","","","","1","NNFB93605C","NNFB93605C","非常用照明器具","A308","459","非常時・非常灯用LED点灯
常時消灯","1.3","","1","非常灯用ハロゲン電球30形（30W）×1","1.3","1","","0","S7B11","Ｂ：非常灯","S7B#1","Ｂ：防災商品","0","","","","16900"
"U57MSU","61","0","0","0","HD2","MEW","NNFB91715C","ＬＥＤ非常灯防湿防雨型埋込低天自己点","3","77500","44300","54300","77500","","3","","0","","0","0","","","","K2","","","NNFB91715C","","","","","","","","","","1","NNFB91715C","NNFB91715C","非常用照明器具","A308","462","非常時・非常灯用LED点灯
常時消灯","1","","","","","","","0","S7B11","Ｂ：非常灯","S7B#1","Ｂ：防災商品","0","","","","15500"
"U57MSU","62","0","0","0","HD3","MEW","NNFB91105C","ＬＥＤ非常灯防湿型直付低天自己点","7","71600","40900","50100","71600","","3","","0","","0","0","","","","K2","","","NNFB91105C","","","","","","","","","","1","NNFB91105C","NNFB91105C","非常用照明器具","A308","462","非常時・非常灯用LED点灯
常時消灯","1","","","","","","","0","S7B11","Ｂ：非常灯","S7B#1","Ｂ：防災商品","0","","","","14320"
"U57MSU","63","0","0","0","HD4","MEW","NWCF59011LE1","ＬＥＤ防雨型ＢＲ階段灯乳白電球色","7","130000","74200","91000","130000","","3","","0","","0","100","","","","K","","","NWCF59011","LE1","","","","","","","S","","1","NWCF59011LE1","NWCF59011LE1","非常用照明器具","A308","510","常時LED点灯/非常時本体組込LED点灯","7.1","","","","","","","0","S5S30","Ｓ：防災政策商品","S5S#3","Ｓ：政策商品","0","","","","52000"
"U57MSU","64","0","0","0","K20","MEW","NNCF23115LE9","一体型階段灯２０形低光束３０分ＮＴワイド","1","122000","69600","85400","122000","","3","","0","","0","100-242","","","","K1","","","NNCF23115","LE9","","","","","","","S","","1","NNCF23115LE9","NNCF23115LE9","非常用照明器具","A308","493","非常時：本体組込LED点灯
常時：常用光ユニット点灯","15.6","","","","","","","0","S5S30","Ｓ：防災政策商品","S5S#3","Ｓ：政策商品","0","","","","48800"
"U57MSU","65","0","0","0","K40","MEW","NNCF42135LE9","一体型階段灯４０形低光束３０分ＮＴミドル","8","132000","75300","92400","132000","","3","","0","","0","100-242","","","","K1","","","NNCF42135","LE9","","","","","","","V","","1","NNCF42135LE9","NNCF42135LE9","非常用照明器具","A308","494","非常時：本体組込LED点灯
常時：常用光ユニット点灯","29.6","","","","","","","0","S5V11","Ｖ：施設照明（高機能）","S5V#4","Ｖ：ＬＥＤ照明（高機能Ｖ４）","0","","","","47520"
